13
#n ret_price	total_distrib	tot_distrib_1st_year	reprints	num_reprints	tot_devol	tot_devol_1st_year	distrib_1st_edition	tot_sell_points	tot_sell_points_1st_year	weeks_sale	print-run	total_sales
18.27	1571	1480	1	3	861	665	1112	239	229	119	1766	570
15.38	2993	2980	2	6	2339	1994	2403	444	439	139	2940	564
12.45	1435	1359	11	69	725	536	960	223	213	145	2105	556
17.79	1709	1698	0	0	1049	793	1427	294	291	148	2034	554
9.62	1350	1237	2	21	637	402	936	156	132	142	1841	552
17.31	4663	4671	1	1	3996	3548	4153	514	510	121	5649	540
6.25	1101	970	3	15	413	274	640	173	145	120	1384	531
16.25	1097	1006	2	17	423	296	719	177	160	147	1090	524
13.46	1111	1069	2	26	447	223	685	166	152	141	1504	522
19.18	1177	1104	0	0	569	426	777	210	198	117	1152	511
15.38	2280	2270	3	16	1680	1181	1860	374	366	120	2586	504
16.83	1569	1507	4	206	946	701	1092	282	263	135	2236	500
15.38	1163	1112	0	0	530	420	732	198	186	120	4045	498
11.54	1516	1364	3	33	920	653	1075	268	251	119	1427	498
72.12	965	845	3	169	330	240	479	231	213	107	661	498
13.41	1064	993	4	45	423	263	673	171	160	119	1417	496
16.35	2245	2203	2	13	1678	1295	1838	347	335	146	3013	494
14.9	1779	1766	2	35	1170	865	1352	245	240	149	7825	488
18.27	2063	2044	2	3	1389	1017	1686	273	257	147	3753	486
20.19	2909	2918	3	33	2343	1806	2530	408	404	134	2618	483
13.46	1120	1080	2	18	487	319	707	196	185	114	1278	477
18.27	3019	3031	2	5	2449	2031	2751	418	411	117	4005	466
15.38	1035	993	3	11	510	328	698	191	181	115	1407	457
17.79	4098	4108	5	54	3502	3156	3675	451	445	148	5356	444
22.12	1222	1195	1	978	698	588	971	229	226	117	1888	441
8.65	842	778	0	0	297	212	558	129	117	130	1100	441
15.38	992	855	0	0	410	253	613	135	119	120	1500	434
14.42	1268	1137	4	45	667	429	913	240	214	139	1445	430
14.42	969	889	4	16	477	327	665	194	179	130	1855	414
15.38	919	863	0	0	400	296	576	166	157	114	750	412
17.79	1377	1341	0	0	974	867	974	153	148	108	1865	397
19.71	1196	1141	0	0	735	626	852	193	184	135	900	387
15.38	1106	1034	5	222	593	365	818	159	142	141	2022	385
7.69	1231	1118	3	50	714	517	937	247	221	120	2350	385
19.23	1518	1379	9	66	921	464	1023	279	231	136	2045	378
15.87	1524	1479	3	166	994	771	1118	248	235	108	2386	377
13.46	929	554	6	690	434	195	432	179	131	147	1110	373
17.79	808	737	0	0	353	218	518	167	155	119	800	373
28.8	741	672	1	1	304	225	426	156	154	149	679	365
15.38	1223	1153	4	14	789	532	894	240	227	142	1438	362
22.12	947	874	0	0	484	322	675	177	159	147	1350	362
17.79	1200	1160	1	2	780	592	873	213	200	114	1602	354
15.87	954	890	0	0	530	388	586	168	162	113	972	353
20.19	1090	1001	4	30	623	476	695	201	185	135	999	352
